document_uuid,document_title_en,entity_text,entity_type,entity_start_pos,entity_end_pos,extractor_confidence_score,is_matched,matched_sot_name,matched_sot_entity_type
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,42,50,0.9730028510093689,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,178,186,0.9730028510093689,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,1014,1022,0.9730028510093689,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,1661,1669,0.9730028510093689,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Alibaba Group,Company,93,106,0.982732892036438,True,Alibaba Group,Company
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,42,50,0.9814602136611938,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,178,186,0.9814602136611938,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,1014,1022,0.9814602136611938,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,1661,1669,0.9814602136611938,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Jack Ma,Person,320,327,0.990934431552887,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,The Core Leader,Person,421,436,0.5374737977981567,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,President Xi,Person,640,652,0.9712101221084595,True,Xi Jinping,Person
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,703,708,0.9526070356369019,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,828,833,0.9526070356369019,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,1909,1914,0.9526070356369019,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,2332,2337,0.9526070356369019,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,2719,2724,0.9526070356369019,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,703,708,0.9498686194419861,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,828,833,0.9498686194419861,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,1909,1914,0.9498686194419861,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,2332,2337,0.9498686194419861,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,China,Location,2719,2724,0.9498686194419861,True,China,Location
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Premier Li Qiang,Person,866,882,0.912388265132904,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,42,50,0.9287112951278687,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,178,186,0.9287112951278687,False,,
31c78232-df85-4d16-877e-80ef9a25214a,Alibaba Opens Smart Manufacturing Headquarters in Shenzhen,Shenzhen,Location,1014,1022,0.9287112951278687,False,,
